"AttributeName","Consistency","ValueIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Genre","1.0","Genre-{musicbrainz_30412|musicbrainz_30406|musicbrainz_30415|musicbrainz_13106}","{emo|emo|emo|emo}","emo",,
"Genre","0.0","Genre-{dbpedia_8014|musicbrainz_23080}","{Rock music|rock}","Rock music",,
"RecordLabel","0.5","RecordLabel-{dbpedia_6011|dbpedia_4908}","{Epic Records|Epic Records}","Epic Records",,
"Name","0.5","Name-{spotify_10767|dbpedia_11299}","{Love On Top|Love On Top}","Love On Top",,
"Genre","1.0","Genre-{dbpedia_10324}","{Hip hop}","Hip hop",,
"Album","1.0","Album-{musicbrainz_30478}","{Masterpiece Theatre}","Masterpiece Theatre",,
"Writer","1.0","Writer-{dbpedia_116}","{Dann Huff,Jesse Frasure}","Dann Huff,Jesse Frasure",,
"Album","1.0","Album-{dbpedia_5127}","{Ambition}","Ambition",,
"Artist","0.5","Artist-{spotify_11782|dbpedia_11079}","{[Wiz Khalifa]|[Wiz Khalifa]}","[Wiz Khalifa]",,
"Name","0.0","Name-{dbpedia_5394|spotify_12236}","{Middle (DJ Snake song)|Middle}","Middle",,
"Genre","1.0","Genre-{musicbrainz_12207}","{alternative rock}","alternative rock",,
"Name","0.5","Name-{musicbrainz_30099|dbpedia_2266}","{The Devil in Stitches|The Devil in Stitches}","The Devil in Stitches",,
"Genre","1.0","Genre-{dbpedia_504}","{Hip hop}","Hip hop",,
"Album","1.0","Album-{dbpedia_906}","{Doo-Wops , Hooligans}","Doo-Wops , Hooligans",,
"Album","1.0","Album-{dbpedia_9921}","{Líderes}","Líderes",,
"Album","1.0","Album-{musicbrainz_13723|musicbrainz_13735|dbpedia_4754}","{Invented|Invented|Invented}","Invented",,
"Year","0.3333333333333333","Year-{dbpedia_7287|spotify_10987|musicbrainz_17682}","{2012-01-01T00:00|2013-01-01T00:00|2013-01-01T00:00}","2013-01-01T00:00",,
"Name","0.2","Name-{spotify_10279|dbpedia_8534|spotify_17150|dbpedia_4340|spotify_15164}","{All The Way Up|All the Way Up (Fat Joe and Remy Ma song)|All The Way Up|All the Way Up (Fat Joe and Remy Ma song)|All The Way Up (Remix)}","All The Way Up",,
"Genre","0.0","Genre-{musicbrainz_23076|dbpedia_2014}","{rock|Rock music,Baroque pop}","Rock music,Baroque pop",,
"Genre","1.0","Genre-{dbpedia_10589}","{Pop rock}","Pop rock",,
"Writer","1.0","Writer-{dbpedia_114}","{Ryan Tedder}","Ryan Tedder",,
"Album","1.0","Album-{musicbrainz_28289}","{Trouble Will Find Me}","Trouble Will Find Me",,
"Duration","1.0","Duration-{spotify_13029}","{207775.0}","207775.0",,
"Year","0.5","Year-{musicbrainz_4947|spotify_7109}","{2016-01-01T00:00|2016-01-01T00:00}","2016-01-01T00:00",,
"Year","0.5","Year-{musicbrainz_2971|dbpedia_2560}","{2011-01-01T00:00|2011-01-01T00:00}","2011-01-01T00:00",,
"Artist","1.0","Artist-{dbpedia_2002|spotify_10770}","{[Rodney Atkins]|[Rodney Atkins]}","[Rodney Atkins]",,
"Artist","0.0","Artist-{dbpedia_1725|spotify_8933|dbpedia_935|spotify_2564}","{[Keane]|[Dan + Shay, Lily Allen]|[Lily Allen]|[Keane, Lily Allen]}","[Keane, Lily Allen]",,
"Year","0.5","Year-{musicbrainz_13480|spotify_13108}","{2015-01-01T00:00|2015-01-01T00:00}","2015-01-01T00:00",,
"Name","0.3333333333333333","Name-{spotify_10934|dbpedia_8787|musicbrainz_28439}","{Hail to the King|Hail to the King (song)|Hail to the King}","Hail to the King",,
"Duration","1.0","Duration-{spotify_16625}","{212227.0}","212227.0",,
"Artist","0.0","Artist-{dbpedia_1846|dbpedia_10326|spotify_1710|dbpedia_7373}","{[Earl Sweatshirt]|[Danny Brown]|[Danny Brown, Kendrick Lamar, Ab-soul, Earl Sweatshirt]|[Ab-soul]}","[Danny Brown, Kendrick Lamar, Ab-soul, Earl Sweatshirt]",,
"Genre","1.0","Genre-{dbpedia_6009}","{Doo-wop,Pop music}","Doo-wop,Pop music",,
"Album","1.0","Album-{dbpedia_908}","{Prism}","Prism",,
"Genre","0.3333333333333333","Genre-{dbpedia_7410|dbpedia_7409|dbpedia_2948}","{Hip hop|Hip hop|Hip hop}","Hip hop",,
"Name","0.5","Name-{dbpedia_5866|spotify_1564}","{Humanos a Marte|Humanos a Marte}","Humanos a Marte",,
"Album","0.5","Album-{musicbrainz_23092|dbpedia_8671}","{Chasing Yesterday|Chasing Yesterday}","Chasing Yesterday",,
"Name","0.0","Name-{dbpedia_11525|spotify_2713}","{Freedom (Pharrell Williams song)|Freedom}","Freedom",,
"Album","1.0","Album-{dbpedia_8725}","{Kinda Don't Care}","Kinda Don't Care",,
"Album","1.0","Album-{musicbrainz_26729}","{Paramore}","Paramore",,
"Writer","1.0","Writer-{dbpedia_118}","{Derek George}","Derek George",,
"Album","1.0","Album-{dbpedia_5125}","{Judge Jerrod , the Hung Jury}","Judge Jerrod , the Hung Jury",,
"Year","0.5","Year-{spotify_15652|musicbrainz_23265}","{2010-01-01T00:00|2010-01-01T00:00}","2010-01-01T00:00",,
"Name","0.3333333333333333","Name-{spotify_2787|dbpedia_2572|dbpedia_1372}","{Hello Bitches|Hello Bitches|Hello Bitches}","Hello Bitches",,
"Name","0.6666666666666666","Name-{spotify_17842|spotify_10831|dbpedia_2012}","{Can't Hold Us (feat. Ray Dalton)|Can't Hold Us - feat. Ray Dalton|Can't Hold Us}","Can't Hold Us",,
"Genre","1.0","Genre-{dbpedia_506}","{Electropop}","Electropop",,
"Year","1.0","Year-{dbpedia_1688|spotify_18957}","{2015-01-01T00:00|2015-01-01T00:00}","2015-01-01T00:00",,
